Year	islam	ledarskap	militär	politik	rörelsen	val	våld
2001	0.01569	0.0	0.0	0.00784	0.0	0.0	0.0
2003	0.01238	0.00884	0.00884	0.00707	0.00884	0.00354	0.00707
2011	0.00557	0.0092	0.00427	0.01076	0.00907	0.00309	0.00388
2012	0.00614	0.01183	0.00837	0.01289	0.01172	0.00614	0.00518
2013	0.00695	0.00802	0.01188	0.01026	0.00787	0.00356	0.00941
2014	0.00823	0.00529	0.00725	0.00793	0.00499	0.00294	0.0047
2015	0.00601	0.00465	0.0063	0.00601	0.00465	0.00184	0.00446
2016	0.00996	0.00328	0.00373	0.00713	0.00306	0.00249	0.0026
2017	0.00698	0.00174	0.0048	0.00414	0.00174	0.00174	0.0036
2018	0.00222	0.01333	0.00222	0.00444	0.01333	0.00444	0.00444
