Year	islam	ledarskap	militär	politik	rörelsen	val	våld
1992	0.00807	0.00172	0.00189	0.00498	0.00155	0.00103	0.00172
1993	0.00374	0.00244	0.00235	0.00357	0.00235	0.00139	0.0027
1994	0.00699	0.00513	0.00047	0.00326	0.00513	0.00047	0.0
1995	0.00622	0.00459	0.0021	0.00622	0.00344	0.00172	0.0023
1996	0.01185	0.00304	0.00213	0.00578	0.00213	0.00122	0.00213
1997	0.00706	0.0075	0.00309	0.01103	0.00221	0.00088	0.00088
1999	0.00716	0.00102	0.00307	0.00307	0.00102	0.00205	0.00102
2000	0.00343	0.00074	0.00196	0.00147	0.00074	0.00049	0.00098
2001	0.01219	0.00189	0.0032	0.00367	0.00189	0.00095	0.00272
2002	0.0074	0.00079	0.00191	0.00233	0.00079	0.00051	0.00186
2003	0.00973	0.00203	0.00174	0.00312	0.00196	0.00109	0.00203
2004	0.00573	0.00395	0.00293	0.00506	0.0036	0.00146	0.00377
2005	0.00799	0.01315	0.00228	0.01189	0.01269	0.00616	0.00253
2006	0.0086	0.00438	0.00269	0.00729	0.00427	0.0028	0.00296
2007	0.0112	0.00456	0.00165	0.00711	0.00438	0.00269	0.00244
2008	0.007	0.00526	0.00157	0.00704	0.00501	0.00203	0.00199
2009	0.00813	0.0035	0.00241	0.00534	0.00311	0.00191	0.00343
2010	0.00839	0.00596	0.00268	0.00767	0.00578	0.0029	0.00228
2011	0.0044	0.01277	0.00461	0.01284	0.01255	0.00296	0.00333
2012	0.00553	0.00978	0.00571	0.01143	0.00974	0.0057	0.0037
2013	0.00657	0.00662	0.00893	0.00909	0.00637	0.00308	0.00651
2014	0.0062	0.0066	0.00661	0.00746	0.00632	0.00306	0.00476
2015	0.0059	0.0041	0.00524	0.00588	0.00387	0.002	0.00453
2016	0.00566	0.00476	0.00506	0.00771	0.00462	0.0026	0.00382
2017	0.0069	0.00177	0.00265	0.00306	0.00164	0.00112	0.00291
2018	0.00479	0.00326	0.00353	0.00678	0.00289	0.00253	0.00181
