Year	islam	ledarskap	militär	politik	rörelsen	val	våld
2005	0.0375	0.025	0.0	0.0125	0.01875	0.0	0.0
2006	0.04317	0.0	0.0	0.01439	0.0	0.0	0.0
2008	0.03226	0.03226	0.0	0.03226	0.03226	0.03226	0.0
2011	0.02667	0.00667	0.0	0.01333	0.00667	0.0	0.0
2012	0.00931	0.01897	0.0064	0.01431	0.01874	0.01059	0.00431
2013	0.01092	0.00807	0.01126	0.00911	0.0077	0.00322	0.00918
2014	0.01374	0.00986	0.00953	0.01018	0.00953	0.00436	0.0084
2015	0.00892	0.01016	0.00868	0.01413	0.00942	0.00372	0.00768
2016	0.01188	0.00748	0.0088	0.01056	0.00748	0.00264	0.0088
2017	0.01422	0.00043	0.00345	0.00603	0.00043	0.00259	0.00259
