Year	islam	ledarskap	militär	politik	rörelsen	val	våld
2002	0.00533	0.00184	0.00422	0.00441	0.00184	0.00147	0.00404
2003	0.00738	0.00275	0.00086	0.00429	0.00275	0.00137	0.00155
2004	0.00531	0.00395	0.00311	0.00562	0.00379	0.00175	0.00372
2005	0.0058	0.01701	0.0019	0.01491	0.01657	0.00746	0.00195
2006	0.00619	0.00619	0.00257	0.00761	0.00591	0.00186	0.00224
2007	0.01167	0.00633	0.00188	0.00821	0.00584	0.00307	0.00257
2008	0.00452	0.00527	0.00263	0.00734	0.0047	0.00207	0.00263
2009	0.00491	0.00475	0.00238	0.00713	0.00444	0.00238	0.00174
2010	0.0052	0.00813	0.00359	0.00851	0.00785	0.00341	0.00284
2011	0.00306	0.01607	0.00518	0.01477	0.01581	0.00254	0.00292
2012	0.00487	0.00804	0.00457	0.01043	0.00801	0.00568	0.00312
2013	0.00561	0.0058	0.00774	0.0084	0.00557	0.003	0.00567
2014	0.00684	0.00757	0.00819	0.0078	0.00734	0.00332	0.00579
2015	0.00976	0.00521	0.00482	0.00631	0.00495	0.00202	0.00306
2016	0.00764	0.00426	0.00514	0.0115	0.00419	0.00365	0.00304
2017	0.00834	0.00347	0.00322	0.00512	0.00322	0.00202	0.0031
2018	0.00499	0.01413	0.00665	0.01081	0.01413	0.00748	0.00416
